ACFT_MAKE_NAME,LOC_STATE_NAME,ACFT_MODEL_NAME,RMK_TEXT,FLT_PHASE,EVENT_TYPE_DESC,FATAL_FLAG,EVENT_DATETIME,ACFT_DMG_DESC_Minor,ACFT_DMG_DESC_Substantial,ACFT_DMG_DESC_Unknown
CESSNA,Florida,172,"AIRCRAFT ON LANDING STRUCK A RUNWAY LIGHT, DAYTONA BEACH, FL",TAXI (TXI),Incident,No,2016-02-13 14:45:00+00:00,False,False,True
FAIRCHILD,Texas,PT19,"AIRCRAFT ON TAXI STRUCK A PARKED AIRCRAFT, WEST HOUSTON AIRPORT, HOUSTON, TX",TAXI (TXI),Incident,No,2016-02-13 20:00:00+00:00,True,False,False
SOCATA,Arkansas,TB9,"AIRCRAFT ON TAXI WING STRUCK THE PAVEMENT AND CAUGHT FIRE, FORT SMITH, AR",TAXI (TXI),Incident,No,2016-02-13 01:40:00+00:00,False,False,True
SAAB,Florida,340,"N341AG SILVER AIRWAYS FLIGHT SIL70 SAAB 340B AIRCRAFT WHILE AT THE GATE, NUMBER 1 ENGINE CAUGHT FIRE AND WAS EXTINGUISHED, PERSONS ON BOARD DEPLANED VIA STAIRS, NO INJURIES, DAMAGE TO AIRCRAFT MINOR, ORLANDO, FL",STANDING (STD),Incident,No,2016-02-15 01:08:00+00:00,True,False,False
EMBRAER,Massachusetts,ERJ190,"N273JB JETBLUE FLIGHT JBU891 EMBRAER ERJ190 AIRCRAFT  WHILE PARKED AT GATE, WAS STRUCK BY A VEHICLE, NO INJURIES, PERSONS ON BOARD DEPLANDED, DAMAGE TO AIRCRAFT UNKNOWN, EAST BOSTON, MA",STANDING (STD),Incident,No,2016-02-12 10:43:00+00:00,False,False,True
MAULE,Alaska,M4,"AIRCRAFT ON TAKEOFF STRUCK A TAXIWAY SIGN, ANCHORAGE, ALASKA  UPDATE: MINOR DAMAGE INCIDENT",TAKEOFF (TOF),Incident,No,2016-02-13 21:10:00+00:00,True,False,False
ENSTROM,Michigan,,"N180TH ENTROM TH180 HELICOPTER,  FORCE LANDED ON A STREET, MENOMINEE, MI",LANDING (LDG),Incident,No,2016-02-12 17:23:00+00:00,False,False,True
BEECH,Florida,55,"AIRCRAFT ON TAXI, GEAR COLLAPSED, WEST PALM BEACH, FL",TAXI (TXI),Incident,No,2016-02-15 13:00:00+00:00,False,False,True
MOONEY,California,M20M,"AIRCRAFT ON LANDING GEAR COLLAPSED,  NAPA, CA",LANDING (LDG),Incident,No,2016-02-15 22:38:00+00:00,True,False,False
PITTS,California,S2,"AIRCRAFT, N704SL CESSNA 150,  AND N57BC AVIAT S2 AIRCRAFT, COLLIDED ON THE RAMP, SANTA PAULA, CA",UNKNOWN (UNK),Accident,No,2016-02-12 23:00:00+00:00,False,False,True
CESSNA,California,150,"AIRCRAFT, N704SL CESSNA 150,  AND N57BC AVIAT S2 AIRCRAFT, COLLIDED ON THE RAMP, SANTA PAULA, CA",STANDING (STD),Accident,No,2016-02-12 23:00:00+00:00,False,True,False
CESSNA,New York,152,"AIRCRAFT LANDED, STRUCK A SNOWBANK AND CAUGHT FIRE, BROOKHAVEN, SHIRLEY, NY",LANDING (LDG),Accident,No,2016-02-12 15:30:00+00:00,False,False,False
CESSNA,Oregon,140,"AIRCRAFT ON LANDING, GEAR COLLAPSED AND GROUND LOOPED, INDEPENDENCE, OR",LANDING (LDG),Accident,No,2016-02-13 18:00:00+00:00,False,True,False
AEROSTAR INTERNATIONAL,California,RX8,"N3647A AEROSTAR INTERNATIONAL RX8 BALLOON, ON LANDING IN A FIELD 1 PERSON ON BOARD SUSTAINED SERIOUS INJURIES, NEAR PETALUMA, CA",LANDING (LDG),Accident,No,2016-02-13 16:30:00+00:00,False,False,True
CESSNA,Alaska,180,"AIRCRAFT ON LANDING ALONG RIVER, FLIPPED OVER, 145 MILES FROM BETHEL,  NEAR SLEETMUTE, ALASKA",LANDING (LDG),Accident,No,2016-02-14 23:15:00+00:00,False,True,False
CHAMPION,California,8KCAB,"AIRCRAFT ON LANDING GROUND LOOPED AND GEAR COLLAPSED, COSTA MESA, CA",LANDING (LDG),Accident,No,2016-02-14 19:30:00+00:00,False,True,False
BELL,Nevada,47G,"N1181W BELL 47G ROTORCRAFT LANDED OFF THE RUNWAY ONTO ITS SIDE, CARSON CITY, NV",LANDING (LDG),Accident,No,2016-02-13 14:00:00+00:00,False,True,False
AIRBUS,Minnesota,A319,"AMERICAN AIRLINES FLIGHT AAL476 AIRBUS A319 AIRCRAFT, REGISTRATION NOT REPORTED, ENCOUNTERED TURBULENCE, 1 PERSON ON BOARD SUSTAINED A SERIOUS INJURY, LANDED WITHOUT INCIDENT MINNEAPOLIS, MN",UNKNOWN (UNK),Accident,No,2016-02-14 10:39:00+00:00,False,False,True
GRUMMAN,California,AA1,"AIRCRAFT ON LANDING NOSE GEAR COLLAPSED, SALINAS, CA",LANDING (LDG),Incident,No,2016-02-16 02:00:00+00:00,True,False,False
GULFSTREAM,Virginia,GULFSTREAM200,"AIRCRAFT ON TAXI COLLIDED WITH A VEHICLE, WASHINGTON DULLES AIRPORT, CHANTILLY, VA",TAXI (TXI),Incident,No,2016-02-15 16:08:00+00:00,True,False,False
SOCATA,California,TB21,"AIRCRAFT ON LANDING THE GEAR COLLAPSED, PETALUMA, CA",LANDING (LDG),Incident,No,2016-02-12 01:00:00+00:00,False,False,True
CESSNA,Texas,182,"AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES.  WEATHERFORD, TX",UNKNOWN (UNK),Accident,No,2016-02-11 20:43:00+00:00,False,True,False
PIPER,Florida,PA28,"AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES.  DESTIN, FL",UNKNOWN (UNK),Accident,Yes,2016-02-11 11:32:00+00:00,False,False,False
CESSNA,South Dakota,150,"AIRCRAFT ON TAXI, PROP STRUCK THE GROUND, STURGIS, SD",TAXI (TXI),Accident,No,2016-02-10 16:40:00+00:00,False,True,False
FLIGHT DESIGN,California,CTLS,"AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES AND CAUGHT FIRE,  THE 2 PERSONS ON BOARD WERE FATALLY INJURED, NEAR TULARE AIRPORT, TULARE, CA",UNKNOWN (UNK),Accident,Yes,2016-02-11 00:17:00+00:00,False,False,False
PIPER,Florida,PA34,"HK4699G COLUMBIA REGISTRATION, PIPER PA34 AIRCRAFT, ON LANDING GEAR COLLAPSED, PEMBROKE PINES, HOLLYWOOD,  FL",LANDING (LDG),Incident,No,2016-02-09 21:11:00+00:00,False,False,True
PIPER,Arizona,PA28,"AIRCRAFT LANDED AND WENT OFF THE END OF THE RUNWAY, MESA, AZ",LANDING (LDG),Incident,No,2016-02-09 23:56:00+00:00,False,False,True
PIPER,Pennsylvania,PA34,"AIRCRAFT ON APPROACH TO LAND, STRUCK TREES, LANDED WITHOUT INCIDENT, WILLIAMSPORT, PA",APPROACH (APR),Accident,No,2016-02-09 11:30:00+00:00,False,True,False
BEECH,California,36,"AIRCRAFT FORCE LANDED IN THE WETLAND/SLOUGH AREA OFF THE AIRPORT, SANTA BARBARA, CA",LANDING (LDG),Accident,No,2016-02-09 02:00:00+00:00,False,True,False
BEECH,Arizona,33,"AIRCRAFT ON TAKEOFF, STRUCK A BIRD, RETURNED AND LANDED WITHOUT INCIDENT, GOODYEAR, AZ",TAKEOFF (TOF),Incident,No,2016-02-08 18:22:00+00:00,True,False,False
CESSNA,Oregon,206,"AIRCRAFT ON LANDING, GEAR COLLAPSED, EUGENE, OR",LANDING (LDG),Incident,No,2016-02-08 00:00:00+00:00,True,False,False
CESSNA,Montana,206,"AIRCRAFT ON LANDING, GEAR COLLAPSED AND STRUCK THE WING, BILLINGS, MT",LANDING (LDG),Accident,No,2016-02-08 18:33:00+00:00,False,True,False
CESSNA,Oregon,175,"AIRCRAFT ON LANDING WENT OFF THE RUNWAY INTO A FENCE, AND FLIPPED,  GOLD BEACH, OR",LANDING (LDG),Accident,No,2016-02-08 18:58:00+00:00,False,True,False
PIPER,Rhode Island,PA31,"AIRCRAFT ON LANDING STRUCK A BIRD, MIDDLETOWN, RI",LANDING (LDG),Incident,No,2016-02-04 00:24:00+00:00,False,False,True
